Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-28,2016,1,28,Thursday,04,2016-04,42.18,42.72,42.06,42.57,16622800,34.27,0.011403953827053837,33.69785714285714,33.76166666666667
2016-01-29,2016,1,29,Friday,04,2016-04,42.86,43.26,42.65,42.92,20457000,34.55,0.00822154280228693,33.77928571428571,33.80315789473684
2016-02-01,2016,2,1,Monday,05,2016-05,42.6,43.15,42.57,43.0,17097800,34.61,0.001864437865634283,33.86071428571429,33.8435
2016-02-02,2016,2,2,Tuesday,05,2016-05,42.7,42.79,42.41,42.44,12332900,34.16,-0.013023691442323626,33.87928571428571,33.85857142857143
2016-02-03,2016,2,3,Wednesday,05,2016-05,42.8,42.94,42.28,42.72,15958300,34.39,0.006597605579053756,33.92928571428572,33.88272727272727
2016-02-04,2016,2,4,Thursday,05,2016-05,42.52,42.89,42.4,42.53,14413700,34.23,-0.004447452554866782,33.96642857142857,33.89782608695652
2016-02-05,2016,2,5,Friday,05,2016-05,42.93,42.99,42.26,42.44,17315700,34.16,-0.0021163221681516076,34.020714285714284,33.90875
2016-02-08,2016,2,8,Monday,06,2016-06,42.17,42.7,41.9,42.65,17254400,34.33,0.0049483716872247285,34.06285714285714,33.9256
2016-02-09,2016,2,9,Tuesday,06,2016-06,42.26,43.49,42.26,43.3,24853800,34.85,0.01524038322640009,34.17285714285715,33.96115384615385
2016-02-10,2016,2,10,Wednesday,06,2016-06,43.34,43.39,42.51,42.55,16729600,34.25,-0.017321119803198948,34.239285714285714,33.97185185185185
2016-02-11,2016,2,11,Thursday,06,2016-06,42.03,42.61,41.98,42.41,16825300,34.14,-0.0032903856073084325,34.25928571428572,33.97785714285714
2016-02-12,2016,2,12,Friday,06,2016-06,42.72,43.14,42.56,43.11,15222400,34.7,0.016505681192776178,34.31357142857143,34.002758620689654
2016-02-16,2016,2,16,Tuesday,07,2016-07,43.32,43.46,43.02,43.36,12675900,34.9,0.0057990805635874665,34.387142857142855,34.032666666666664
2016-02-17,2016,2,17,Wednesday,07,2016-07,43.42,43.62,43.28,43.49,12332500,35.01,0.002998625124642107,34.46785714285714,34.064193548387095
2016-02-18,2016,2,18,Thursday,07,2016-07,43.63,43.73,43.3,43.61,11170300,35.1,0.0027586385761741994,34.527142857142856,34.0965625
2016-02-19,2016,2,19,Friday,07,2016-07,43.58,43.77,43.28,43.77,12850000,35.23,0.003669007730215279,34.575714285714284,34.130909090909086
2016-02-22,2016,2,22,Monday,08,2016-08,43.77,44.16,43.63,43.94,20716100,35.37,0.003883839945082679,34.63,34.167352941176475
2016-02-23,2016,2,23,Tuesday,08,2016-08,43.74,44.05,43.66,43.69,11166400,35.17,-0.005689432485850521,34.70214285714286,34.196
2016-02-24,2016,2,24,Wednesday,08,2016-08,43.56,43.94,43.37,43.91,10844200,35.34,0.005035240391264573,34.769999999999996,34.22777777777778
2016-02-25,2016,2,25,Thursday,08,2016-08,43.96,44.18,43.87,44.16,10903300,35.55,0.0056940756228329725,34.864285714285714,34.263513513513516
2016-02-26,2016,2,26,Friday,08,2016-08,44.04,44.06,43.11,43.14,18421000,34.72,-0.023098087239956322,34.90428571428571,34.27552631578948
2016-02-29,2016,2,29,Monday,09,2016-09,43.17,43.61,42.92,43.13,15049800,34.72,-0.00023179749731205845,34.93214285714286,34.28692307692308
2016-03-01,2016,3,1,Tuesday,09,2016-09,43.38,43.69,43.17,43.69,12358300,35.17,0.012983889195765208,34.955,34.309
2016-03-02,2016,3,2,Wednesday,09,2016-09,43.47,43.77,43.42,43.77,12856300,35.23,0.0018310359508939555,35.025,34.33146341463414
2016-03-03,2016,3,3,Thursday,09,2016-09,43.61,43.98,43.54,43.96,13134800,35.38,0.004340978842438226,35.113571428571426,34.35642857142857
2016-03-04,2016,3,4,Friday,09,2016-09,43.78,44.15,43.68,44.11,13691500,35.51,0.003412105719864389,35.17142857142857,34.38325581395349
2016-03-07,2016,3,7,Monday,10,2016-10,43.91,44.14,43.86,44.01,10695300,35.42,-0.0022667870147420333,35.20857142857143,34.40681818181818
2016-03-08,2016,3,8,Tuesday,10,2016-10,43.92,44.47,43.81,44.32,18900200,35.67,0.007043241644267395,35.255714285714284,34.434888888888885
2016-03-09,2016,3,9,Wednesday,10,2016-10,44.39,44.83,44.29,44.81,18466600,36.07,0.011056427376465727,35.325,34.47043478260869
2016-03-10,2016,3,10,Thursday,10,2016-10,44.84,45.26,44.68,45.23,28908600,36.41,0.009372879462963724,35.409285714285716,34.511702127659575
2016-03-11,2016,3,11,Friday,10,2016-10,45.0,45.25,44.93,45.2,16129300,36.67,0.007129988618758132,35.50214285714286,34.556666666666665
2016-03-14,2016,3,14,Monday,11,2016-11,45.04,45.42,45.04,45.29,13206700,36.74,0.0019912980069021202,35.614285714285714,34.60122448979592
2016-03-15,2016,3,15,Tuesday,11,2016-11,45.08,45.56,45.07,45.24,13686300,36.7,-0.0011039396795398115,35.71142857142857,34.6432
2016-03-16,2016,3,16,Wednesday,11,2016-11,45.05,45.17,44.55,45.05,15386100,36.54,-0.004199960313207574,35.78214285714286,34.6914
2016-03-17,2016,3,17,Thursday,11,2016-11,45.05,45.91,44.97,45.77,24080000,37.13,0.01598217271869795,35.95428571428572,34.748999999999995
2016-03-18,2016,3,18,Friday,11,2016-11,45.84,45.87,45.39,45.6,23853400,36.99,-0.00371395059627877,36.11642857142857,34.8076
2016-03-21,2016,3,21,Monday,12,2016-12,45.42,45.87,45.36,45.67,9740400,37.05,0.0015349260649091256,36.25071428571429,34.8786
2016-03-22,2016,3,22,Tuesday,12,2016-12,45.55,45.73,45.39,45.5,13788300,36.91,-0.003722391226808508,36.370714285714286,34.9486
2016-03-23,2016,3,23,Wednesday,12,2016-12,45.4,45.71,45.35,45.46,9292100,36.88,-0.0008791170630255696,36.47785714285714,35.0168
2016-03-24,2016,3,24,Thursday,12,2016-12,45.45,45.6,45.19,45.58,10890200,36.97,0.002639671769570029,36.582142857142856,35.078199999999995
2016-03-28,2016,3,28,Monday,13,2016-13,45.56,45.93,45.51,45.8,13306600,37.15,0.004826760623975135,36.705714285714286,35.1474
2016-03-29,2016,3,29,Tuesday,13,2016-13,45.86,46.51,45.81,46.48,25010400,37.7,0.014847198696677166,36.85071428571428,35.2272
2016-03-30,2016,3,30,Wednesday,13,2016-13,46.63,46.73,46.33,46.58,14312200,37.79,0.0021515545907655476,36.973571428571425,35.315
2016-03-31,2016,3,31,Thursday,13,2016-13,46.55,46.88,46.32,46.39,15544500,37.63,-0.004079237723872975,37.06071428571429,35.3928
2016-04-01,2016,4,1,Friday,13,2016-13,46.14,46.87,46.11,46.83,14922900,37.99,0.009484964636149451,37.15500000000001,35.4864
2016-04-04,2016,4,4,Monday,14,2016-14,46.84,46.93,46.5,46.89,10629800,38.04,0.001281123838222209,37.24785714285714,35.580799999999996
2016-04-05,2016,4,5,Tuesday,14,2016-14,46.62,46.81,46.44,46.53,10696700,37.75,-0.007677309114788811,37.32285714285714,35.6586
2016-04-06,2016,4,6,Wednesday,14,2016-14,46.57,46.73,46.38,46.71,9122700,37.89,0.0038681509704738826,37.419285714285714,35.7376
2016-04-07,2016,4,7,Thursday,14,2016-14,46.5,46.58,46.16,46.36,9292000,37.61,-0.007493161127579362,37.45357142857143,35.812400000000004
2016-04-08,2016,4,8,Friday,14,2016-14,46.44,46.98,46.44,46.87,11959300,38.02,0.011001172085597144,37.527142857142856,35.8952
2016-04-11,2016,4,11,Monday,15,2016-15,46.9,47.13,46.41,46.44,11880100,37.67,-0.009174521794530932,37.57142857142857,35.9632
2016-04-12,2016,4,12,Tuesday,15,2016-15,46.41,46.76,46.35,46.65,11219100,37.84,0.004521893962315726,37.63785714285715,36.029
2016-04-13,2016,4,13,Wednesday,15,2016-15,46.77,46.78,45.82,46.04,13234100,37.35,-0.01307569108736506,37.67142857142858,36.083800000000004
2016-04-14,2016,4,14,Thursday,15,2016-15,46.06,46.22,45.75,45.83,12982200,37.18,-0.004561383331574853,37.68642857142857,36.1442
2016-04-15,2016,4,15,Friday,15,2016-15,45.82,46.16,45.68,46.1,13647800,37.4,0.00589125995185813,37.70428571428572,36.2044
2016-04-18,2016,4,18,Monday,16,2016-16,46.1,46.28,45.82,46.22,11538100,37.49,0.00260312746602942,37.68928571428571,36.2696
2016-04-19,2016,4,19,Tuesday,16,2016-16,46.31,46.62,46.15,46.6,14418300,37.8,0.008221410565172782,37.69,36.342400000000005
2016-04-20,2016,4,20,Wednesday,16,2016-16,45.34,45.38,44.06,44.37,40360300,35.99,-0.047854020971523026,37.57285714285714,36.3756
2016-04-21,2016,4,21,Thursday,16,2016-16,44.26,44.28,42.87,43.66,37206900,35.42,-0.01600199760008192,37.38928571428572,36.387
2016-04-22,2016,4,22,Friday,16,2016-16,43.79,44.66,43.79,44.54,25134200,36.13,0.02015609513570049,37.25285714285714,36.4246
2016-04-25,2016,4,25,Monday,17,2016-17,44.5,44.72,44.38,44.71,11173800,36.27,0.0038168293551774646,37.14714285714285,36.467200000000005
2016-04-26,2016,4,26,Tuesday,17,2016-17,44.92,44.96,44.43,44.53,13935500,36.12,-0.004025926558946069,37.020714285714284,36.495599999999996
2016-04-27,2016,4,27,Wednesday,17,2016-17,44.64,44.86,44.25,44.68,11335500,36.24,0.0033683417274346095,36.92285714285714,36.5224
2016-04-28,2016,4,28,Thursday,17,2016-17,44.5,44.9,44.46,44.63,10932500,36.2,-0.0011190113631436294,36.792857142857144,36.5462
2016-04-29,2016,4,29,Friday,17,2016-17,44.53,44.86,44.5,44.8,11716000,36.34,0.0038089219114636474,36.69785714285714,36.571000000000005
2016-05-02,2016,5,2,Monday,18,2016-18,44.57,45.19,44.57,44.98,12577500,36.49,0.004018259721221051,36.60142857142858,36.5962
2016-05-03,2016,5,3,Tuesday,18,2016-18,44.87,45.07,44.65,44.84,10420500,36.37,-0.0031128979883203733,36.53142857142857,36.6162
2016-05-04,2016,5,4,Wednesday,18,2016-18,44.72,45.11,44.51,44.98,9350500,36.49,0.003122618380796194,36.482142857142854,36.6426
2016-05-05,2016,5,5,Thursday,18,2016-18,44.93,45.49,44.87,45.06,8801100,36.55,0.0017783507903048612,36.42142857142857,36.666799999999995
2016-05-06,2016,5,6,Friday,18,2016-18,45.06,45.41,44.92,45.32,8564000,36.76,0.005770058438422154,36.369285714285716,36.691
2016-05-09,2016,5,9,Monday,19,2016-19,45.32,45.5,45.17,45.24,8110600,36.7,-0.0017652171900942593,36.29071428571429,36.7306
2016-05-10,2016,5,10,Tuesday,19,2016-19,45.44,45.84,45.42,45.75,8933500,37.11,0.011273107187914189,36.370714285714286,36.778400000000005
2016-05-11,2016,5,11,Wednesday,19,2016-19,45.73,45.88,45.45,45.46,8833100,36.88,-0.00633882151718923,36.475,36.8126
2016-05-12,2016,5,12,Thursday,19,2016-19,45.55,45.9,45.49,45.83,10463400,37.18,0.008139143121455916,36.55,36.851600000000005
2016-05-13,2016,5,13,Friday,19,2016-19,45.75,45.83,45.23,45.35,10341200,36.79,-0.010473852666478711,36.58714285714286,36.8798
2016-05-16,2016,5,16,Monday,20,2016-20,45.16,45.73,45.14,45.62,9413600,37.01,0.005953824650806405,36.65071428571429,36.9098
2016-05-17,2016,5,17,Tuesday,20,2016-20,45.45,45.56,44.71,44.75,17457000,36.3,-0.019070347858301973,36.654999999999994,36.9274
2016-05-18,2016,5,18,Wednesday,20,2016-20,44.56,44.83,44.23,44.48,12524300,36.08,-0.0060334400643958785,36.646428571428565,36.9356
2016-05-19,2016,5,19,Thursday,20,2016-20,44.25,44.39,44.04,44.32,10659500,35.95,-0.003597740285017581,36.61857142857143,36.9332
2016-05-20,2016,5,20,Friday,20,2016-20,44.51,44.54,43.94,43.95,12914100,35.65,-0.008348077415849975,36.558571428571426,36.918
2016-05-23,2016,5,23,Monday,21,2016-21,44.07,44.16,43.94,43.97,13554700,35.67,0.00045506064782530053,36.50857142857143,36.898
2016-05-24,2016,5,24,Tuesday,21,2016-21,44.1,44.42,44.0,44.37,12634200,35.99,0.009097287134261611,36.472857142857144,36.883
2016-05-25,2016,5,25,Wednesday,21,2016-21,44.51,44.63,44.25,44.38,9218100,36.0,0.0002254295083941038,36.433571428571426,36.869
2016-05-26,2016,5,26,Thursday,21,2016-21,44.53,44.77,44.44,44.69,8695800,36.25,0.006985150330348855,36.39714285714286,36.8632
2016-05-27,2016,5,27,Friday,21,2016-21,44.71,44.96,44.65,44.78,7893900,36.33,0.0020137065047760583,36.370714285714286,36.8472
2016-05-31,2016,5,31,Tuesday,22,2016-22,44.98,44.98,44.26,44.6,18935200,36.18,-0.004019529308875391,36.30428571428571,36.831
2016-06-01,2016,6,1,Wednesday,22,2016-22,44.6,44.78,44.49,44.7,8916000,36.26,0.0022420370990503535,36.26,36.815200000000004
2016-06-02,2016,6,2,Thursday,22,2016-22,44.7,44.72,44.5,44.72,6693900,36.28,0.0004476357677705156,36.19571428571429,36.802600000000005
2016-06-03,2016,6,3,Friday,22,2016-22,44.75,45.05,44.68,45.04,13434900,36.54,0.007155602707158204,36.17785714285714,36.7958
2016-06-06,2016,6,6,Monday,23,2016-23,45.09,45.48,45.08,45.37,10310600,36.8,0.007326839913846639,36.16285714285714,36.7924
2016-06-07,2016,6,7,Tuesday,23,2016-23,45.35,45.48,45.2,45.32,9812600,36.76,-0.0011020966681709599,36.19571428571429,36.7846
2016-06-08,2016,6,8,Wednesday,23,2016-23,45.24,45.66,45.19,45.55,7915400,36.95,0.005074636250808284,36.25785714285714,36.7696
2016-06-09,2016,6,9,Thursday,23,2016-23,45.33,45.8,45.31,45.76,8042900,37.12,0.00461076410708916,36.34142857142857,36.7562
2016-06-10,2016,6,10,Friday,23,2016-23,45.62,46.01,45.56,45.99,12357000,37.31,0.005026149666608637,36.46,36.7498
