Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-28,2016,1,28,Thursday,04,2016-04,189.96,190.2,187.16,189.11,143798800,167.5,0.005209177976935653,167.79999999999998,169.64333333333332
2016-01-29,2016,1,29,Friday,04,2016-04,190.02,193.88,189.88,193.72,210529300,171.59,0.024377130509719125,167.91428571428574,169.74578947368423
2016-02-01,2016,2,1,Monday,05,2016-05,192.53,194.58,191.84,193.65,136061600,171.52,-0.00036122663387461174,168.01142857142855,169.8345
2016-02-02,2016,2,2,Tuesday,05,2016-05,191.96,191.97,189.54,190.16,182564900,168.43,-0.01802231055792769,167.79,169.76761904761904
2016-02-03,2016,2,3,Wednesday,05,2016-05,191.41,191.78,187.1,191.3,205054900,169.44,0.005995270315321877,167.94642857142858,169.75272727272727
2016-02-04,2016,2,4,Thursday,05,2016-05,190.71,192.75,189.96,191.6,139531800,169.71,0.0015680965255131518,167.9257142857143,169.75086956521739
2016-02-05,2016,2,5,Friday,05,2016-05,190.99,191.67,187.2,187.95,180788300,166.47,-0.019050061234715976,167.93428571428572,169.61416666666665
2016-02-08,2016,2,8,Monday,06,2016-06,185.77,186.12,182.8,185.42,191526700,164.23,-0.013461215013448546,167.76714285714283,169.39880000000002
2016-02-09,2016,2,9,Tuesday,06,2016-06,183.36,186.94,183.2,185.43,184513100,164.24,5.370139164639909e-05,167.75285714285715,169.20038461538462
2016-02-10,2016,2,10,Wednesday,06,2016-06,186.41,188.34,185.12,185.27,148214100,164.1,-0.00086261357513151,167.66285714285712,169.0114814814815
2016-02-11,2016,2,11,Thursday,06,2016-06,182.34,184.1,181.09,182.86,219058900,161.97,-0.013007932017389923,167.17857142857142,168.76
2016-02-12,2016,2,12,Friday,06,2016-06,184.96,186.65,183.96,186.63,127632400,165.31,0.02061703380648261,167.115,168.6410344827586
2016-02-16,2016,2,16,Tuesday,07,2016-07,188.77,189.81,187.63,189.78,120250700,168.1,0.01687816721209101,167.08857142857144,168.623
2016-02-17,2016,2,17,Wednesday,07,2016-07,191.16,193.32,191.01,192.88,136009500,170.84,0.016334686236192386,167.38928571428573,168.69451612903225
